Class,Amplitude,AndersonDarling,Autocor_length,Beyond1Std,Gskew,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PercentAmplitude,PeriodLS
lpv,0.047,0.102234,3,0.366071,-0.018000000000000002,-3.8e-05,0.013534000000000001,13.651893,0.001697,0.0175,0.383929,0.004943,861.6878230000001
lpv,0.115,0.050331,5,0.36,0.015,-6e-06,0.592105,14.044726999999998,0.0043479999999999994,0.043,0.396667,0.011675,50.693259000000005
ecl,0.1695,0.0,6,0.13333299999999998,0.299,0.002643,6.324473,17.014097,0.005391,0.012,0.81,0.021497,0.740735
lpv,0.087,0.044993,3,0.3,0.019,-3.1e-05,4.272151999999999,13.596653,0.002849,0.024,0.45,0.009672,25.972076
lpv,0.064,0.004802000000000001,3,0.343333,-0.008,3e-06,0.217313,13.053113,0.00267,0.0235,0.36,0.006474,22.448362
lpv,0.14800000000000002,0.11473699999999999,5,0.313333,-0.017,-4.2e-05,0.07698200000000001,15.479323,0.0048590000000000005,0.048,0.43,0.014894,629.601943
lpv,0.0165,0.25306300000000004,3,0.296296,-0.0025,2.8999999999999997e-05,0.178549,15.395926000000001,0.000537,0.005,0.303704,0.001429,278.964338
lpv,0.0285,0.002686,4,0.42028999999999994,0.003,7.000000000000001e-06,0.17746199999999998,13.378645,0.0012460000000000001,0.013000000000000001,0.275362,0.002616,30.068608
lpv,0.0525,0.004584,4,0.269231,0.046,5.9999999999999995e-05,0.057039,11.899519,0.0026,0.021,0.403846,0.00971,400.154631
lpv,0.12,0.002439,8,0.432692,0.013999999999999999,-1.2e-05,0.015189,13.654019,0.005365999999999999,0.064,0.278846,0.011026000000000001,213.053827
lpv,0.0695,0.000906,5,0.363333,0.005,-1.4000000000000001e-05,0.013478,14.466479999999999,0.002806,0.031,0.31666700000000003,0.006914,0.503574
lpv,0.0245,0.007819,2,0.29,-0.0045,-2e-06,0.536553,13.242063,0.000916,0.006999999999999999,0.46,0.003171,1094.213378
lpv,0.027000000000000003,0.304033,2,0.31666700000000003,0.005,3e-06,0.188088,13.624073000000001,0.001057,0.0095,0.446667,0.003303,16.345114000000002
lpv,0.0355,0.51247,2,0.33,-0.0045,-4e-06,0.110824,13.583307000000001,0.001353,0.013000000000000001,0.366667,0.00346,19.589304000000002
rrlyr,0.2525,0.003009,1,0.356667,-0.063,6e-06,3.4715529999999997,18.78042,0.007483,0.1115,0.286667,0.018445,0.590334
ecl,0.0565,0.0,2,0.117057,0.065,-2e-06,0.516274,16.16408,0.001245,0.008,0.852843,0.00662,51.010690000000004
lpv,0.013999999999999999,0.0,27,0.32,0.0075,-0.0008880000000000001,2.002225,13.992123000000001,0.000531,0.005,0.326667,0.001572,16.994220000000002
dsct,0.34600000000000003,0.04471,1,0.284281,0.071,-1.8e-05,0.358112,19.985064,0.008195000000000001,0.105,0.494983,0.030091000000000003,1.59495
lpv,0.022000000000000002,0.00155,2,0.34,0.009000000000000001,-1.1e-05,0.458716,13.26491,0.000863,0.006999999999999999,0.37666700000000003,0.002639,18.866986999999998
lpv,0.0305,0.117184,4,0.27,0.0,-1.4000000000000001e-05,0.414079,14.833893,0.0010789999999999999,0.01,0.51,0.004045,0.999555
lpv,0.0215,0.305316,4,0.326667,-0.006999999999999999,1.2e-05,1.149425,14.94331,0.000791,0.008,0.49,0.002744,559.48297
lpv,0.0135,0.690627,2,0.340206,0.002,2.2e-05,0.06155700000000001,12.748402,0.0005780000000000001,0.005,0.371134,0.001333,0.996034
lpv,0.0235,0.083526,15,0.31,0.0,6e-06,0.159134,14.837582999999999,0.000843,0.009000000000000001,0.416667,0.002763,1525.809283
lpv,0.606,0.0,13,0.39,0.34,0.00033,0.056196,14.492567000000001,0.025604000000000002,0.32899999999999996,0.183333,0.059947,200.80923700000002
lpv,0.31325,0.001086,33,0.399142,-0.026000000000000002,-5.6999999999999996e-05,0.252861,14.068660999999999,0.012766,0.13699999999999998,0.32618,0.025626,1297.504062
lpv,0.034,0.005179,4,0.293333,-0.009000000000000001,5e-06,0.10272200000000001,15.188197,0.001144,0.011000000000000001,0.476667,0.0038840000000000003,37.389804999999996
lpv,0.1015,0.495802,3,0.294643,-0.0035,-6e-06,0.014122999999999998,13.857875,0.0035909999999999996,0.035,0.34821399999999997,0.009847,55.262578000000005
lpv,0.128,1.3000000000000001e-05,8,0.343333,-0.0505,7e-05,1.390025,13.983189999999999,0.004814,0.040999999999999995,0.396667,0.013006,520.588905
lpv,0.048,1.3000000000000001e-05,6,0.276667,0.0235,-1.3000000000000001e-05,0.295925,14.578682999999998,0.002079,0.023,0.526667,0.008095,62.183738
lpv,0.1125,7.900000000000001e-05,6,0.406667,-0.01,1.2e-05,1.286174,14.346913,0.004378,0.052000000000000005,0.293333,0.009581999999999999,69.111372
ecl,0.2605,0.0,1,0.257525,0.23399999999999999,-6.6e-05,0.433642,18.728355,0.007864,0.085,0.381271,0.02472,6.337814
lpv,0.01,0.050545,1,0.383838,-0.004,-4e-06,0.012853999999999999,13.443110999999998,0.00040899999999999997,0.004,0.333333,0.000893,1.013706
lpv,0.0395,0.00074,3,0.31914899999999996,0.026000000000000002,-7.3e-05,0.508259,12.697904,0.0017420000000000003,0.0155,0.329787,0.005633,20.335113
lpv,0.0195,0.000798,3,0.276667,0.009000000000000001,-1.3000000000000001e-05,1.37457,14.542467000000002,0.00067,0.006999999999999999,0.403333,0.002132,1626.1095
rrlyr,0.19375,0.096118,1,0.380282,0.038,0.000132,0.349538,18.453394,0.006337,0.102,0.23943699999999998,0.012688,0.5939270000000001
lpv,0.13075,0.009483,7,0.298611,0.025,9.499999999999999e-05,0.221729,13.937653,0.004472,0.042,0.305556,0.011186,81.245115
